# time [s],current [A],voltage [V],temperature [K],c_p_avg [mol/m^3],c_n_avg [mol/m^3]
3189.5,-15,3.74678307565232,297.053261297566,39757.1759288812,10724.6325035025
3190,-15,3.74675604966508,297.053093148672,39758.8227652953,10722.8014438683
3190.5,-15,3.74672902367784,297.052924999778,39760.4696017094,10720.9703842341
3191,-15,3.7467019976906,297.052756850884,39762.1164381235,10719.1393245999
3191.5,-15,3.74667497170336,297.05258870199,39763.7632745375,10717.3082649656
3192,-15,3.74664794571612,297.052420553096,39765.4101109516,10715.4772053314
3192.5,-15,3.74662091972889,297.052252404202,39767.0569473657,10713.6461456972
3193,-15,3.74659389374165,297.052084255309,39768.7037837797,10711.815086063
3193.5,-15,3.74656686775441,297.051916106415,39770.3506201938,10709.9840264287
3194,-15,3.74653984176717,297.051747957521,39771.9974566079,10708.1529667945
3194.5,-15,3.74651281577993,297.051579808627,39773.644293022,10706.3219071603
3195,-15,3.74648578979269,297.051411659733,39775.291129436,10704.4908475261
3195.5,-15,3.74645876380545,297.051243510839,39776.9379658501,10702.6597878918
3196,-15,3.74643173781821,297.051075361945,39778.5848022642,10700.8287282576
3196.5,-15,3.74640471183097,297.050907213051,39780.2316386783,10698.9976686234
3197,-15,3.74637768584373,297.050739064157,39781.8784750923,10697.1666089892
3197.5,-15,3.74635065985649,297.050570915263,39783.5253115064,10695.335549355
3198,-15,3.74632363386926,297.050402766369,39785.1721479205,10693.5044897207
3198.5,-15,3.74629660788202,297.050234617475,39786.8189843346,10691.6734300865
3199,-15,3.74626958189478,297.050066468581,39788.4658207486,10689.8423704523
3199.5,-15,3.74624255590754,297.049898319687,39790.1126571627,10688.0113108181
3200,-15,3.7462155299203,297.049730170793,39791.7594935768,10686.1802511839
3200.5,-15,3.74618850393306,297.049562021899,39793.4063299908,10684.3491915496
3201,-15,3.74616147794582,297.049393873005,39795.0531664049,10682.5181319154
3201.5,-15,3.74613445195858,297.049225724111,39796.700002819,10680.6870722812
3202,-15,3.74610742597134,297.049057575217,39798.3468392331,10678.856012647
3202.5,-15,3.7460803999841,297.048889426323,39799.9936756471,10677.0249530127
3203,-15,3.74605337399686,297.048721277429,39801.6405120612,10675.1938933785
